statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
West Virginia,22,391000,43.53,48.65,34.06,38.67,164.91
West Virginia,23,381512,16.7,39.66,28.63,38.04,123.03
West Virginia,24,750620,44.52,57.29,65.19,36.76,203.76
West Virginia,25,440799,24.01,34.71,33.28,33.77,125.77
Wyoming,0,0,1350.62,1757.26,1174.99,1098.11,5380.98
Wyoming,0,25,1034.93,1136.32,1056.51,1009.42,4237.18
Wyoming,1,283620,826.09,890.9,833.99,755.29,3306.27
Wyoming,2,280429,5.36,52.54,61.28,58.07,177.25
Wyoming,3,250810,46.35,33.19,34.88,31.7,146.12
Wyoming,4,280920,8.81,0,0.56,21.24,30.61
Wyoming,5,681510,0.49,13.65,11.03,15.96,41.13
Wyoming,6,283630,7.53,9.79,9.46,13.38,40.16
Wyoming,7,271012,44.37,45.47,16.28,11.91,118.03
Wyoming,8,843143,14.28,8.47,10.93,11.3,44.98
Wyoming,9,680919,10.68,10.14,11.92,11.29,44.03
Wyoming,10,271112,0.1,0,0,10.36,10.46
Wyoming,11,250840,6.83,9.96,9.11,8.61,34.51
Wyoming,12,843149,9.01,12.42,13.84,8.16,43.43
Wyoming,13,870790,18.81,9.5,6.77,6.3,41.38
Wyoming,14,310551,0.26,0.68,4.27,5.9,11.11
Wyoming,15,680911,4.52,7.49,5.62,5.78,23.41
Wyoming,16,382490,7.36,8.79,7.32,4.42,27.89
Wyoming,17,761290,0.48,0.22,0,4.25,4.95
Wyoming,18,841182,0,0,0,4.02,4.02
Wyoming,19,283699,3.52,4.53,3.57,3.49,15.11
Wyoming,20,970110,2.68,0.74,0.13,3.35,6.9
Wyoming,21,71339,5.22,2.95,1.05,3.25,12.47
Wyoming,22,271311,8.69,9.1,7.93,3.23,28.95
Wyoming,23,870410,0,0.59,0,3.12,3.71
Wyoming,24,392690,1.74,2.99,3.68,2.55,10.96
Wyoming,25,902490,1.75,2.2,2.85,2.49,9.29
