statename,rank,hs6,val2013,val2014,val2015,val2016,valAll
Missouri,0,25,5798.94,5462.36,5592.06,5347.87,22201.23
Missouri,1,760120,480.41,576.44,539.06,716.32,2312.23
Missouri,2,270900,1411.63,511.43,713.68,689.65,3326.39
Missouri,3,220300,236.47,290.87,392.83,398.18,1318.35
Missouri,4,300490,406.17,394.07,363.59,374.86,1538.69
Missouri,5,840734,495.81,692.97,461.36,327.17,1977.31
Missouri,6,850140,316.1,343.43,318.61,292.2,1270.34
Missouri,7,940190,250.17,318.24,298.78,271.76,1138.95
Missouri,8,950300,141.89,160.35,179.76,185.41,667.41
Missouri,9,870829,114.49,156.35,177.7,178.79,627.33
Missouri,10,870120,244.34,314.38,271.13,175.39,1005.24
Missouri,11,760110,80.41,73.52,84.62,141.81,380.36
Missouri,12,841590,88.14,139.34,142.03,140.72,510.23
Missouri,13,854430,49.42,50.24,152.77,134.03,386.46
Missouri,14,851679,91.76,102.4,139.91,130.6,464.67
Missouri,15,490900,99.64,79.08,87.61,128.99,395.32
Missouri,16,293339,155.75,131.56,149.17,127.16,563.64
Missouri,17,740311,126.91,157.37,132.82,124.12,541.22
Missouri,18,284440,71.5,83.38,85.49,112.89,353.26
Missouri,19,293499,131.72,127.13,141.43,108.36,508.64
Missouri,20,950730,93.89,79.7,118.53,105.94,398.06
Missouri,21,851762,110.56,151,163.83,101.69,527.08
Missouri,22,392690,91.01,97.98,101.21,96.67,386.87
Missouri,23,870895,196.05,89.66,89.2,96.65,471.56
Missouri,24,870899,132.99,166,161.24,96.52,556.75
Missouri,25,293410,181.67,175.46,125.71,91.99,574.83
Mississippi,0,0,20003.51,17286.2,14078.79,13970.94,65339.44
Mississippi,0,25,13219.59,10532.04,6816.13,6491.34,37059.1
Mississippi,1,270900,9780.16,6496.15,2450.82,1819.86,20546.99
Mississippi,2,870840,700.55,689.29,707.53,708.41,2805.78
Mississippi,3,940190,494.3,480.19,525.72,456.39,1956.6
Mississippi,4,846729,192.24,75.94,221.25,389.78,879.21
Mississippi,5,851762,34.39,60.27,64.25,289.74,448.65
Mississippi,6,300630,0,194.15,243.04,246.49,683.68
Mississippi,7,271019,238.07,485.63,423.92,208.76,1356.38
Mississippi,8,901839,108.15,134.49,190.23,184.42,617.29
Mississippi,9,80390,228.35,213.12,152.8,177.85,772.12
Mississippi,10,720110,66.05,201.67,58.67,163.84,490.23
Mississippi,11,854239,72.56,76.73,129,160.7,438.99
Mississippi,12,840999,165.29,233.78,224.8,153.67,777.54
Mississippi,13,844399,95.42,79.88,143.26,151.25,469.81
Mississippi,14,853620,118.87,126.71,124.41,144.76,514.75
Mississippi,15,620342,127.83,147.19,164.75,139.93,579.7
Mississippi,16,870850,55.97,62.48,65.49,137.33,321.27
Mississippi,17,901890,32.37,42.7,112.62,135.61,323.3
Mississippi,18,850440,76.21,82.64,90.3,114.12,363.27
Mississippi,19,854140,101.17,71.52,102.12,108.79,383.6
Mississippi,20,870899,75.89,66.78,67.68,104.88,315.23
Mississippi,21,870829,107.07,80.76,101.32,103.8,392.95
Mississippi,22,847130,56.07,125.21,131.99,103.73,417
Mississippi,23,851632,126.96,100.28,118.39,99.55,445.18
Mississippi,24,870120,103.77,145.35,133.2,97.47,479.79
Mississippi,25,611020,61.89,59.13,68.55,90.21,279.78
Montana,0,0,5740.6,6238.03,4062.68,3489.59,19530.9
Montana,0,25,5012.73,5321.76,3274.77,2802.84,16412.1
Montana,1,270900,4319.58,4503.17,2629.94,2042.45,13495.14
Montana,2,711292,135.38,228.74,139.22,144.31,647.65
Montana,3,711299,71.51,21.28,45.85,85.7,224.34
Montana,4,310210,130.34,101.8,100.8,78.58,411.52
Montana,5,440710,65.64,58.06,47.1,54.18,224.98
Montana,6,970500,0.22,40.21,9.02,45.67,95.12
Montana,7,880230,2.55,12.03,1.5,43.8,59.88
Montana,8,870324,2.55,12.1,19.78,42,76.43
Montana,9,271121,37.77,40.22,36.66,40.17,154.82
Montana,10,240220,41.56,52.44,42.56,38.56,175.12
Montana,11,870431,0.14,2.63,11.58,26.61,40.96
Montana,12,230641,44.55,32.43,29.67,19.78,126.43
Montana,13,441012,23.77,19.26,19.27,18.52,80.82
Montana,14,271112,31.58,50.05,16.07,17.12,114.82
Montana,15,100390,6.03,9.52,10.34,16.8,42.69
Montana,16,870323,9.64,3.35,9.08,14.66,36.73
Montana,17,843390,13.21,10.74,9.22,11.6,44.77
Montana,18,440310,21.23,17.03,12.66,10.4,61.32
Montana,19,100199,21.42,65.3,29.32,8.39,124.43
Montana,20,841122,0,3.21,3.15,8.3,14.66
Montana,21,440810,0.4,4.17,13.58,7.54,25.69
Montana,22,310280,8.92,9.24,9.38,7.28,34.82
Montana,23,290110,5.19,7,9.79,7.21,29.19
Montana,24,281410,13.77,10.94,13.42,6.73,44.86
Montana,25,842890,5.8,6.85,5.82,6.47,24.94
North Carolina,0,0,49847.68,52924.8,51280.7,47041.18,201094.36
North Carolina,0,25,15267.95,17113.12,15556.96,13956.71,61894.74
North Carolina,1,300490,1710.59,2908.32,2840.32,2313.12,9772.35
North Carolina,2,841191,1775.7,2065.91,2038.5,1448.52,7328.63
North Carolina,3,847130,2755.64,3047.08,1437.36,1251.75,8491.83
North Carolina,4,610910,753.76,772,827.26,848.73,3201.75
North Carolina,5,620342,767.35,786.84,833.11,781.69,3168.99
North Carolina,6,611020,726.02,761.01,835.03,664.17,2986.23
North Carolina,7,847150,978.79,976.94,810.19,612.64,3378.56
North Carolina,8,870899,589.97,662.85,634.26,544.37,2431.45
North Carolina,9,284420,697.87,660.54,505.73,540.48,2404.62
North Carolina,10,621210,439.04,428.55,519.39,528.24,1915.22
